PeakID (cmd=TPR1_QuEST_peaks.bed tair10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
R-1523	Chr5	210530	211106	+	109556	NA	promoter-TSS (AT5G01542.1)	promoter-TSS (AT5G01542.1)	-439	AT5G01542.1	10723022				AT5G01542	-	ncRNA	ncRNA
R-1532	Chr2	16215744	16215912	+	109556	NA	promoter-TSS (AT2G38790.1)	promoter-TSS (AT2G38790.1)	-564	AT2G38790.1	818461	At.66375	NM_129436		AT2G38790	F13I13.2	hypothetical protein	protein-coding
R-1531	Chr2	19431977	19432115	+	109556	NA	promoter-TSS (AT2G47340.1)	promoter-TSS (AT2G47340.1)	-122	AT2G47340.1	819347	At.49381	NM_130302		AT2G47340	T8I13.18	plant invertase/pectin methylesterase inhibitor domain-containing protein	protein-coding
R-1516	Chr5	25484792	25484942	+	109556	NA	promoter-TSS (AT5G63660.1)	promoter-TSS (AT5G63660.1)	-825	AT5G63660.1	836486	At.55692	NM_125761		PDF2.5	LCR74|LOW-MOLECULAR-WEIGHT CYSTEINE-RICH 74|MBK5.14|MBK5_14	defensin-like protein 6	protein-coding
R-1522	Chr5	313427	313603	+	109556	NA	exon (AT5G01820.1, exon 1 of 1)	exon (AT5G01820.1, exon 1 of 1)	1485	AT5G01820.1	831765	At.23738	NM_120260		SR1	ATCIPK14|ATSR1|CBL-INTERACTING PROTEIN KINASE 14|CIPK14|SERINE/THREONINE PROTEIN KINASE 1|SNF1-RELATED PROTEIN KINASE 3.15|SnRK3.15|T20L15.90|T20L15_90|serine/threonine protein kinase 1	CBL-interacting serine/threonine-protein kinase 14	protein-coding
R-1517	Chr5	23966073	23966477	+	109556	NA	Intergenic	Intergenic	-1038	AT5G59430.4	836062	At.42990	NM_001085301		TRP1	ATTRP1|F2O15.20|F2O15_20|TELOMERE REPEAT BINDING PROTEIN 1|telomeric repeat binding protein 1	Telomere repeat-binding protein 1	protein-coding
R-1524	Chr4	2234584	2235104	+	109556	NA	promoter-TSS (AT4G04490.1)	promoter-TSS (AT4G04490.1)	-206	AT4G04490.1	825779	At.54140	NM_116687		CRK36	T26N6.10|T26N6_10|cysteine-rich RLK (RECEPTOR-like protein kinase) 36	cysteine-rich receptor-like protein kinase 36	protein-coding
R-1519	Chr5	19226339	19226508	+	109556	NA	promoter-TSS (AT5G47390.1)	promoter-TSS (AT5G47390.1)	-367	AT5G47390.1	834786	At.23392	NM_124110		AT5G47390	MQL5.25|MQL5_25	myb-like transcription factor family protein	protein-coding
R-1515	Chr1	3392414	3393004	+	109556	NA	promoter-TSS (AT1G10340.2)	promoter-TSS (AT1G10340.2)	-138	AT1G10340.1	837573	At.11286	NM_100908		AT1G10340	F14N23.22|F14N23_22	ankyrin repeat-containing protein	protein-coding
R-1520	Chr5	4194517	4195013	+	109556	NA	Intergenic	Intergenic	-1807	AT5G13180.1	831157	At.10079	NM_121321		NAC083	ANAC083|NAC domain containing protein 83|T19L5.140|T19L5_140|VND-interacting 2|VNI2	NAC domain containing protein 83	protein-coding
R-1527	Chr3	9709867	9710379	+	109556	NA	promoter-TSS (AT3G26500.1)	promoter-TSS (AT3G26500.1)	-159	AT3G26500.1	822257	At.37205	NM_113557		PIRL2	MFE16.10|plant intracellular ras group-related LRR 2	plant intracellular ras group-related LRR 2	protein-coding
R-1541	Chr5	5236517	5237016	+	108955	NA	Intergenic	Intergenic	-1412	AT5G16030.2	831460	At.49027	NM_001036812		AT5G16030	F1N13.170|F1N13_170	hypothetical protein	protein-coding
R-1540	Chr5	8373453	8374163	+	108955	NA	promoter-TSS (AT5G24520.2)	promoter-TSS (AT5G24520.2)	-961	AT5G24520.3	832523	At.28124	NM_122360		TTG1	ATTTG1|K18P6.4|K18P6_4|TRANSPARENT TESTA GLABRA 1|TTG|UNARMED 23|URM23	protein TRANSPARENT TESTA GLABRA 1	protein-coding
R-1547	Chr2	16749428	16749940	+	108955	NA	promoter-TSS (AT2G40113.1)	promoter-TSS (AT2G40113.1)	-351	AT2G40113.1	818601	At.53081	NM_179995		AT2G40113	-	Pollen Ole e 1 allergen and extensin family protein	protein-coding
R-1545	Chr3	19442297	19442917	+	108955	NA	promoter-TSS (AT3G52450.1)	promoter-TSS (AT3G52450.1)	-224	AT3G52450.1	824410	At.35294	NM_115105		PUB22	plant U-box 22	E3 ubiquitin-protein ligase PUB22	protein-coding
R-1544	Chr4	12726947	12727308	+	108955	NA	TTS (AT4G24670.2)	TTS (AT4G24670.2)	-1490	AT4G24660.1	828568	At.2543	NM_118599		HB22	ATHB22|F22K18.140|F22K18_140|HOMEOBOX PROTEIN 22|MATERNAL EFFECT EMBRYO ARREST 68|MEE68|homeobox protein 22	ZF-HD homeobox protein	protein-coding
R-1538	Chr5	26687861	26688382	+	108955	NA	promoter-TSS (AT5G66820.1)	promoter-TSS (AT5G66820.1)	-935	AT5G66820.1	836816	At.28846	NM_126081		AT5G66820	MUD21.8|MUD21_8	hypothetical protein	protein-coding
R-1542	Chr5	435099	435254	+	108955	NA	promoter-TSS (AT5G02190.1)	promoter-TSS (AT5G02190.1)	-35	AT5G02190.1	831845	At.73063	NM_120297		PCS1	ARABIDOPSIS THALIANA ASPARTIC PROTEASE 38|ATASP38|EMB24|EMBRYO DEFECTIVE 24|PHYTOCHELATIN SYNTHASE 1|PROMOTION OF CELL SURVIVAL 1|T7H20.240|T7H20_240	aspartyl protease family protein	protein-coding
R-1549	Chr2	591821	592095	+	108955	NA	promoter-TSS (AT2G02230.1)	promoter-TSS (AT2G02230.1)	-308	AT2G02230.1	814754	At.41510	NM_126283		PP2-B1	AtPP2-B1|T16F16.2|T16F16_2|phloem protein 2-B1	F-box protein PP2-B1	protein-coding
R-1537	Chr5	26812276	26812621	+	108955	NA	Intergenic	Intergenic	-2759	AT5G67190.1	836854	At.50633	NM_126119		DEAR2	DREB and EAR motif protein 2|K21H1.15|K21H1_15	ethylene-responsive transcription factor ERF010	protein-coding
R-1536	Chr1	302841	303060	+	108955	NA	promoter-TSS (AT1G01840.1)	promoter-TSS (AT1G01840.1)	-587	AT1G01840.1	839291	At.26618	NM_100067		AT1G01840	T1N6.26|T1N6_26	hypothetical protein	protein-coding
R-1548	Chr2	9868610	9869133	+	108955	NA	Intergenic	Intergenic	-2079	AT2G23171.1	6241472	At.73759	NM_001124899		AT2G23171	-	hypothetical protein	protein-coding
R-1546	Chr2	17249008	17249214	+	108955	NA	Intergenic	Intergenic	-2830	AT2G41380.1	818736	At.43779	NM_129701		AT2G41380	F13H10.7|F13H10_7	S-adenosyl-L-methionine-dependent methyltransferase-like protein	protein-coding
R-1533	Chr1	29099262	29099557	+	108955	NA	promoter-TSS (AT1G77450.1)	promoter-TSS (AT1G77450.1)	-545	AT1G77450.1	844081	At.17802	NM_106394		NAC032	NAC domain containing protein 32|T5M16.4|T5M16_4|anac032	NAC domain containing protein 32	protein-coding
R-1539	Chr5	22136414	22136822	+	108955	NA	Intergenic	Intergenic	-2940	AT5G54510.1	835539	At.9013	NM_124831		DFL1	DWARF IN LIGHT 1|F24B18.13|F24B18_13|GH3.6	indole-3-acetic acid-amido synthetase GH3.6	protein-coding
R-1559	Chr4	16566178	16566350	+	108353	NA	Intergenic	Intergenic	3031	AT4G34720.1	829624	At.40263	NM_119638		AVA-P1	ATVHA-C1|T4L20.300|VACUOLAR H+-PUMPING ATPASE 16 KDA PROTEOLIPID|VACUOLAR H+-PUMPING ATPASE C1|VHA-C1	V-type H+-transporting ATPase 16kDa proteolipid subunit	protein-coding
R-1550	Chr1	30377940	30378087	+	108353	NA	Intergenic	Intergenic	1642	AT1G80831.1	6240317	At.73802	NM_001124155		AT1G80831	-	hypothetical protein	protein-coding
R-1553	Chr1	8054715	8054852	+	108353	NA	promoter-TSS (AT1G22760.1)	promoter-TSS (AT1G22760.1)	-542	AT1G22760.1	838882	At.208	NM_102123		PAB3	POLY(A) BINDING PROTEIN 3|T22J18.7|T22J18_7|poly(A) binding protein 3	Polyadenylate-binding protein 3	protein-coding
R-1552	Chr1	18423617	18423765	+	108353	NA	promoter-TSS (AT1G49770.1)	promoter-TSS (AT1G49770.1)	-887	AT1G49770.1	841400	At.38170	NM_103864		RGE1	F14J22.2|F14J22_2|RETARDED GROWTH OF EMBRYO 1|ZHOUPI|ZOU	transcription factor bHLH95	protein-coding
R-1570	Chr2	11296267	11296628	+	108353	NA	promoter-TSS (AT2G26560.1)	promoter-TSS (AT2G26560.1)	-641	AT2G26560.1	817197	At.12388	NM_128213		PLA2A	PATATIN-LIKE PROTEIN 2|PHOSPHOLIPASE A 2A|PLA IIA|PLP2|T9J22.23|T9J22_23|phospholipase A 2A	phospholipase A 2A	protein-coding
R-1561	Chr4	10594218	10594486	+	108353	NA	Intergenic	Intergenic	-3764	AT4G19420.1	827683	At.67133	NM_118062		AT4G19420	T5K18.200|T5K18_200	putative Pectinacetylesterase	protein-coding
R-1554	Chr1	4584640	4585046	+	108353	NA	Intergenic	Intergenic	3770	AT1G13370.1	837897	At.42035	NM_101207		AT1G13370	T6J4.12|T6J4_12	histone H3	protein-coding
R-1564	Chr3	9477977	9478259	+	108353	NA	TTS (AT3G25890.1)	TTS (AT3G25890.1)	2543	AT3G25890.1	822185	At.37307	NM_001084740		AT3G25890	-	ethylene-responsive transcription factor ERF119	protein-coding
R-1568	Chr2	13657764	13658527	+	108353	NA	promoter-TSS (AT2G32140.1)	promoter-TSS (AT2G32140.1)	-861	AT2G32150.1	817774	At.21600	NM_128774		AT2G32150	F22D22.10|F22D22_10	haloacid dehalogenase-like hydrolase domain-containing protein	protein-coding
R-1557	Chr4	18330786	18331275	+	108353	NA	Intergenic	Intergenic	-1018	AT4G39404.1	6240827				AT4G39404	-	ncRNA	ncRNA
R-1556	Chr5	2303215	2303491	+	108353	NA	TTS (AT5G07300.1)	TTS (AT5G07300.1)	-2331	AT5G07310.1	830622	At.50703	NM_120813		AT5G07310	T2I1.20|T2I1_20	ethylene-responsive transcription factor ERF115	protein-coding
R-1567	Chr3	1730322	1730976	+	108353	NA	TTS (AT3G05810.1)	TTS (AT3G05810.1)	1735	AT3G05810.1	819750	At.40614	NM_111455		AT3G05810	F10A16.10|F10A16_10	hypothetical protein	protein-coding
R-1551	Chr1	27970958	27971088	+	108353	NA	Intergenic	Intergenic	-1144	AT1G74420.1	843783	At.28630	NM_106102		FUT3	ATFUT3|F1M20.10|F1M20_10|fucosyltransferase 3	fucosyltransferase 3	protein-coding
R-1569	Chr2	12408646	12408783	+	108353	NA	promoter-TSS (AT2G28890.1)	promoter-TSS (AT2G28890.1)	-479	AT2G28890.1	817438	At.27597	NM_128448		PLL4	F8N16.18|F8N16_18|PROTEIN PHOSPHATASE 2C|poltergeist like 4	putative protein phosphatase 2C 23	protein-coding
R-1555	Chr5	26598131	26598814	+	108353	NA	promoter-TSS (AT5G66640.2)	promoter-TSS (AT5G66640.2)	-912	AT5G66640.2	836796	At.28154	NM_001203709		DAR3	DA1-related protein 3|MSN2.2|MSN2_2	protein DA1-related 3	protein-coding
R-1563	Chr3	11029781	11030263	+	108353	NA	TTS (AT3G29034.1)	TTS (AT3G29034.1)	611	AT3G29034.1	822546	At.47046	NM_180315		AT3G29034	-	hypothetical protein	protein-coding
R-1565	Chr3	8106214	8106415	+	108353	NA	Intergenic	Intergenic	-1707	AT3G22886.1	3768900				MIR167A	microRNA167A	ncRNA	ncRNA
R-1560	Chr4	14346522	14346814	+	108353	NA	promoter-TSS (AT4G29103.1)	promoter-TSS (AT4G29103.1)	-168	AT4G29103.1	6240454	At.73472	NM_001125605		AT4G29103	-	hypothetical protein	protein-coding
R-1572	Chr1	1236008	1236821	+	107751	NA	promoter-TSS (AT1G04540.1)	promoter-TSS (AT1G04540.1)	-380	AT1G04530.1	839500	At.28463	NM_100332		AT1G04530	T1G11.22|T1G11_22	tetratricopeptide repeat domain-containing protein	protein-coding
R-1585	Chr2	8473848	8473979	+	107751	NA	promoter-TSS (AT2G19582.1)	promoter-TSS (AT2G19582.1)	-533	AT2G19582.1	5007887				AT2G19582	-	ncRNA	ncRNA
R-1574	Chr5	23584396	23585118	+	107751	NA	promoter-TSS (AT5G58350.1)	promoter-TSS (AT5G58350.1)	-32	AT5G58350.1	835947	At.20717	NM_125220		WNK4	MCK7.22|MCK7_22|ZIK2|with no lysine (K) kinase 4	putative serine/threonine-protein kinase WNK4	protein-coding
R-1576	Chr5	5264111	5264560	+	107751	NA	Intergenic	Intergenic	-1298	AT5G16120.2	831469	At.23932	NM_001125762		AT5G16120	T21H19.40|T21H19_40	hydrolase, alpha/beta fold family protein	protein-coding
R-1571	Chr1	29638438	29638804	+	107751	NA	promoter-TSS (AT1G78830.1)	promoter-TSS (AT1G78830.1)	-69	AT1G78830.1	844220	At.23087	NM_106531		AT1G78830	F9K20.12|F9K20_12	curculin-like (mannose-binding) lectin-like protein	protein-coding
R-1583	Chr3	5122118	5122427	+	107751	NA	exon (AT3G15210.1, exon 1 of 1)	exon (AT3G15210.1, exon 1 of 1)	850	AT3G15210.1	820752	At.47551	NM_112384		ERF4	ATERF-4|ATERF4|ETHYLENE RESPONSIVE ELEMENT BINDING FACTOR 4|RAP2.5|RELATED TO AP2 5|ethylene responsive element binding factor 4	ethylene-responsive transcription factor 4	protein-coding
R-1580	Chr4	304680	304871	+	107751	NA	promoter-TSS (AT4G00730.2)	promoter-TSS (AT4G00730.2)	-267	AT4G00730.2	828022	At.24442	NM_001125435		ANL2	AHDP|ANTHOCYANINLESS 2|ARABIDOPSIS THALIANA HOMEODOMAIN PROTEIN|F6N23.10|F6N23_10|HOMEODOMAIN PROTEIN AHDP	homeobox-leucine zipper protein ANTHOCYANINLESS 2	protein-coding
R-1587	Chr2	2289537	2289994	+	107751	NA	promoter-TSS (AT2G05940.1)	promoter-TSS (AT2G05940.1)	-458	AT2G05940.1	815147	At.23011	NM_126607		AT2G05940	T6P5.14|T6P5_14	kinase-like protein	protein-coding
R-1575	Chr5	22080366	22080898	+	107751	NA	promoter-TSS (AT5G54380.1)	promoter-TSS (AT5G54380.1)	-752	AT5G54380.1	835526	At.28202	NM_124818		THE1	GA469.3|GA469_3|THESEUS1	receptor-like protein kinase THESEUS 1	protein-coding
R-1578	Chr5	308793	309214	+	107751	NA	promoter-TSS (AT5G01810.2)	promoter-TSS (AT5G01810.2)	-431	AT5G01810.2	830556	At.20284	NM_001036743		CIPK15	ATPK10|CBL-interacting protein kinase 15|PKS3|PROTEIN KINASE 10|SERINE/THREONINE PROTEIN KINASE 10|SIP2|SMALL AND BASIC INTRINSIC PROTEIN 2|SNF1-RELATED PROTEIN KINASE 3.1|SNRK3.1|SOS3-INTERACTING PROTEIN 2|T20L15.80|T20L15_80	CBL-interacting serine/threonine-protein kinase 15	protein-coding
R-1586	Chr2	7955422	7955591	+	107751	NA	promoter-TSS (AT2G18300.3)	promoter-TSS (AT2G18300.3)	244	AT2G18310.1	3768183				AT2G18310	49292.TRNA-ASN-1	tRNA	tRNA
R-1573	Chr5	25898754	25899199	+	107751	NA	promoter-TSS (AT5G64770.1)	promoter-TSS (AT5G64770.1)	-852	AT5G64770.1	836598	At.28941	NM_125873		RGF9	GLV2|GOLVEN 2|MVP7.10|MVP7_10|root meristem growth factor 9	hypothetical protein	protein-coding
R-1579	Chr4	17533811	17534401	+	107751	NA	Intergenic	Intergenic	-3600	AT4G37250.1	829879	At.27846	NM_119888		AT4G37250	AP22.22|AP22_22	putative LRR receptor-like serine/threonine-protein kinase	protein-coding
R-1582	Chr3	16814803	16815629	+	107751	NA	Intergenic	Intergenic	-1345	AT3G45775.1	3769655				AT3G45775	-	pseudo	pseudo
R-1592	Chr1	8990228	8990391	+	107149	NA	Intergenic	Intergenic	5187	AT1G25570.1	839144	At.70414	NM_102368		AT1G25570	F2J7.2	Di-glucose binding protein with Leucine-rich repeat domain	protein-coding
R-1600	Chr2	17910492	17910786	+	107149	NA	TTS (AT2G43070.1)	TTS (AT2G43070.1)	1454	AT2G43060.1	818908	At.27337	NM_129867		IBH1	ILI1 binding bHLH 1|MFL8.8	ILI1 binding bHLH 1 protein	protein-coding
R-1588	Chr1	25658938	25659388	+	107149	NA	exon (AT1G68440.1, exon 1 of 1)	exon (AT1G68440.1, exon 1 of 1)	1130	AT1G68440.1	843173	At.20172	NM_105515		AT1G68440	T2E12.1|T2E12_1	hypothetical protein	protein-coding
R-1598	Chr3	9591495	9592064	+	107149	NA	TTS (AT3G26200.1)	TTS (AT3G26200.1)	2497	AT3G26200.1	822221	At.5693	NM_113527		CYP71B22	cytochrome P450|family 71|polypeptide 22|subfamily B	cytochrome P450 71B22	protein-coding
R-1601	Chr2	8579411	8579674	+	107149	NA	Intergenic	Intergenic	-1816	AT2G19880.1	816507	At.26304	NM_001202626		AT2G19880	F6F22.9|F6F22_9	nucleotide-diphospho-sugar transferase domain-containing protein	protein-coding
R-1596	Chr4	13836584	13837584	+	107149	NA	promoter-TSS (AT4G27730.1)	promoter-TSS (AT4G27730.1)	-506	AT4G27730.1	828887	At.32073	NM_118912		OPT6	ARABIDOPSIS THALIANA OLIGOPEPTIDE TRANSPORTER 6|ATOPT6|T29A15.220|T29A15_220|oligopeptide transporter 1	oligopeptide transporter 6	protein-coding
R-1591	Chr1	9887655	9887950	+	107149	NA	promoter-TSS (AT1G28280.1)	promoter-TSS (AT1G28280.1)	283	AT1G28281.1	6240594	At.73859	NM_001123897		AT1G28281	-	hypothetical protein	protein-coding
R-1593	Chr1	497581	497921	+	107149	NA	promoter-TSS (AT1G02440.1)	promoter-TSS (AT1G02440.1)	-272	AT1G02440.1	839230	At.51457	NM_100125		ARFD1A	ADP-ribosylation factor D1A|ATARFD1A|T6A9.25	Arf/Sar family protein	protein-coding
R-1595	Chr4	17047445	17047786	+	107149	NA	promoter-TSS (AT4G36030.1)	promoter-TSS (AT4G36030.1)	-300	AT4G36030.1	829759	At.31360	NM_119770		ARO3	T19K4.160|T19K4_160|armadillo repeat only 3	armadillo repeat-containing protein	protein-coding
R-1590	Chr1	10303479	10303649	+	107149	NA	promoter-TSS (AT1G29430.1)	promoter-TSS (AT1G29430.1)	-229	AT1G29430.1	839819	At.75303	NM_102683		AT1G29430	F15D2.2|F15D2_2	SAUR-like auxin-responsive protein	protein-coding
R-1609	Chr5	2985508	2985802	+	106547	NA	promoter-TSS (AT5G09620.1)	promoter-TSS (AT5G09620.1)	-220	AT5G09620.1	830821	At.27500	NM_120999		AT5G09620	F17I14.190|F17I14_190	octicosapeptide/Phox/Bem1p domain-containing protein	protein-coding
R-1602	Chr1	27953178	27953375	+	106547	NA	promoter-TSS (AT1G74360.1)	promoter-TSS (AT1G74360.1)	-955	AT1G74360.1	843777	At.48371	NM_106096		AT1G74360	F1M20.4|F1M20_4	putative LRR receptor-like serine/threonine-protein kinase	protein-coding
R-1618	Chr3	4541480	4542590	+	106547	NA	TTS (AT3G13800.1)	TTS (AT3G13800.1)	-2329	AT3G13810.3	820593	At.28709	NM_001202953		IDD11	AtIDD11|indeterminate(ID)-domain 11	protein indeterminate(ID)-domain 11	protein-coding
R-1606	Chr5	25436630	25437141	+	106547	NA	Intergenic	Intergenic	3544	AT5G63530.2	836472	At.10973	NM_001085321		FP3	ARABIDOPSIS THALIANA FARNESYLATED PROTEIN 3|ATFP3|MLE2.16|MLE2_16|farnesylated protein 3	farnesylated protein 3	protein-coding
R-1608	Chr5	6413860	6414492	+	106547	NA	promoter-TSS (AT5G19120.1)	promoter-TSS (AT5G19120.1)	-312	AT5G19120.1	832032	At.70275	NM_121917		AT5G19120	T24G5.20|T24G5_20	aspartyl protease family protein	protein-coding
R-1604	Chr1	9847961	9848158	+	106547	NA	promoter-TSS (AT1G28190.1)	promoter-TSS (AT1G28190.1)	-136	AT1G28190.1	839713	At.40928	NM_102584		AT1G28190	F3H9.15|F3H9_15	hypothetical protein	protein-coding
R-1615	Chr3	22991043	22991413	+	106547	NA	promoter-TSS (AT3G62090.3)	promoter-TSS (AT3G62090.3)	-519	AT3G62090.1	825382	At.50304	NM_001084860		PIL2	PHYTOCHROME-INTERACTING FACTOR 6|PIF6|phytochrome interacting factor 3-like 2	transcription factor PIF6	protein-coding
R-1610	Chr4	17537891	17538059	+	106547	NA	Intergenic	Intergenic	-2515	AT4G37260.1	829880	At.74571	NM_119889		MYB73	AP22.97|AP22_97|ATMYB73|myb domain protein 73	myb domain protein 73	protein-coding
R-1617	Chr3	17739962	17740191	+	106547	NA	promoter-TSS (AT3G48050.1)	promoter-TSS (AT3G48050.1)	-664	AT3G48050.2	823960	At.19774	NM_114674		AT3G48050	-	BAH and TFIIS domain-containing protein	protein-coding
R-1619	Chr2	16894222	16895234	+	106547	NA	Intergenic	Intergenic	-1938	AT2G40450.1	818639	At.53086	NM_129606		AT2G40450	T2P4.20|T2P4_20	BTB/POZ domain-containing protein	protein-coding
R-1612	Chr4	6875487	6876289	+	106547	NA	Intergenic	Intergenic	-2347	AT4G11300.1	826732	At.33576	NM_117201		AT4G11300	F8L21.90|F8L21_90	hypothetical protein	protein-coding
R-1603	Chr1	27276150	27276456	+	106547	NA	promoter-TSS (AT1G72450.1)	promoter-TSS (AT1G72450.1)	14	AT1G72450.1	843577	At.25041	NM_105904		JAZ6	T10D10.8|T10D10_8|TIFY DOMAIN PROTEIN 11B|TIFY11B|jasmonate-zim-domain protein 6	protein TIFY 11B	protein-coding
R-1614	Chr4	741305	741897	+	106547	NA	Intergenic	Intergenic	-3320	AT4G01720.1	828001	At.27833	NM_116402		WRKY47	AtWRKY47|T15B16.12|T15B16_12	putative WRKY transcription factor 47	protein-coding
R-1620	Chr2	16707030	16707804	+	106547	NA	promoter-TSS (AT2G40008.1)	promoter-TSS (AT2G40008.1)	-639	AT2G40008.1	5007947				AT2G40008	-	ncRNA	ncRNA
R-1616	Chr3	18421870	18422042	+	106547	NA	promoter-TSS (AT3G49680.1)	promoter-TSS (AT3G49680.1)	-693	AT3G49680.1	824130	At.25154	NM_001125330		BCAT3	ATBCAT-3|branched-chain aminotransferase 3	branched-chain-amino-acid aminotransferase 3	protein-coding
R-1607	Chr5	8809122	8809246	+	106547	NA	Intergenic	Intergenic	-1637	AT5G25370.1	832609	At.54992	NM_122446		PLDALPHA3	F18G18.110|F18G18_110|phospholipase D alpha 3	phospholipase D zeta	protein-coding
R-1632	Chr5	24886790	24887200	+	105945	NA	Intergenic	Intergenic	-1622	AT5G61970.1	836318	At.20648	NM_125590		AT5G61970	K22G18.11|K22G18_11	signal recognition particle subunit SRP68	protein-coding
R-1624	Chr1	26135098	26135291	+	105945	NA	Intergenic	Intergenic	3773	AT1G69526.1	843287	At.35409	NM_001036179		AT1G69526	-	S-adenosylmethionine-dependent methyltransferase domain-containing protein	protein-coding
R-1640	Chr4	20170	20797	+	105945	NA	promoter-TSS (AT4G00060.1)	promoter-TSS (AT4G00060.1)	-954	AT4G00060.1	828214	At.34604	NM_116223		MEE44	F6N15.10|F6N15_10|maternal effect embryo arrest 44	Nucleotidyltransferase family protein	protein-coding
R-1630	Chr1	6444782	6445720	+	105945	NA	Intergenic	Intergenic	-5343	AT1G18710.1	838453	At.10906	NM_101729		MYB47	AtMYB47|F6A14.18|F6A14_18|myb domain protein 47	myb domain protein 47	protein-coding
R-1637	Chr5	1654065	1654183	+	105945	NA	intron (AT5G05560.1, intron 32 of 32)	intron (AT5G05560.1, intron 32 of 32)	-2442	AT5G05570.1	830440	At.32982	NM_001203300		AT5G05570	MOP10.11|MOP10_11	syntaxin binding protein 5 (tomosyn)	protein-coding
R-1639	Chr4	16359657	16360160	+	105945	NA	TTS (AT4G34160.1)	TTS (AT4G34160.1)	2269	AT4G34160.1	829564	At.22721	NM_119579		CYCD3;1	CYCD3|CYCLIN D3;1|F28A23.80|F28A23_80	cyclin-D3-1	protein-coding
R-1628	Chr1	9885171	9885867	+	105945	NA	TTS (AT1G28280.1)	TTS (AT1G28280.1)	1959	AT1G28280.2	839722	At.16033	NM_001123896		AT1G28280	F3H9.7|F3H9_7	VQ motif-containing protein	protein-coding
R-1635	Chr5	9474551	9474962	+	105945	NA	promoter-TSS (AT5G26920.1)	promoter-TSS (AT5G26920.1)	-926	AT5G26920.2	832750	At.30838	NM_001203479		CBP60G	Cam-binding protein 60-like G|F2P16.9|F2P16_9	Cam-binding protein 60-like G	protein-coding
R-1625	Chr1	25174902	25175116	+	105945	NA	TTS (AT1G67265.1)	TTS (AT1G67265.1)	1193	AT1G67265.1	5007837	At.49512	NM_001084313		RTFL21	DEVIL 3|DVL3|ROTUNDIFOLIA like 21	ROTUNDIFOLIA like 21 protein	protein-coding
R-1644	Chr2	16940401	16940534	+	105945	NA	promoter-TSS (AT2G40570.2)	promoter-TSS (AT2G40570.2)	-368	AT2G40570.2	818652	At.42969	NM_001036442		AT2G40570	T2P4.8|T2P4_8	initiator tRNA phosphoribosyl transferase-like protein	protein-coding
R-1638	Chr4	17643029	17643553	+	105945	NA	promoter-TSS (AT4G37550.2)	promoter-TSS (AT4G37550.2)	-279	AT4G37550.3	829910	At.26178	NM_001036724		AT4G37550	F19F18.40|F19F18_40	formamidase	protein-coding
R-1623	Chr1	26164982	26165154	+	105945	NA	Intergenic	Intergenic	-1572	AT1G69570.1	843293	At.10732	NM_105626		AT1G69570	-	Dof zinc finger protein DOF1.10	protein-coding
R-1643	Chr2	17806473	17806659	+	105945	NA	promoter-TSS (AT2G42790.1)	promoter-TSS (AT2G42790.1)	-517	AT2G42790.1	818879	At.75577	NM_129840		CSY3	F7D19.21|F7D19_21|citrate synthase 3	citrate synthase 3	protein-coding
R-1622	Chr1	28315708	28316237	+	105945	NA	TTS (AT1G75440.1)	TTS (AT1G75440.1)	2390	AT1G75450.1	843881	At.28601	NM_001198473		CKX5	ARABIDOPSIS THALIANA CYTOKININ OXIDASE 5|ATCKX5|ATCKX6|CYTOKININ OXIDASE 6|F1B16.2|F1B16_2|cytokinin oxidase 5	cytokinin dehydrogenase 5	protein-coding
R-1629	Chr1	9649956	9650917	+	105945	NA	Intergenic	Intergenic	-1363	AT1G27730.1	839666	At.24624	NM_102538		STZ	T22C5.18|T22C5_18|ZAT10|salt tolerance zinc finger	zinc finger protein STZ/ZAT10	protein-coding
R-1641	Chr3	18567108	18567371	+	105945	NA	promoter-TSS (AT3G50070.1)	promoter-TSS (AT3G50070.1)	-459	AT3G50070.1	824169	At.26490	NM_114867		CYCD3;3	CYCLIN D3;3	cyclin-D3-3	protein-coding
R-1631	Chr5	25702447	25702828	+	105945	NA	Intergenic	Intergenic	-1292	AT5G64260.1	836547	At.71435	NM_125822		EXL2	EXORDIUM like 2|MSJ1_10	protein EXORDIUM like 2	protein-coding
R-1634	Chr5	23290092	23290429	+	105945	NA	promoter-TSS (AT5G57510.1)	promoter-TSS (AT5G57510.1)	-704	AT5G57510.1	835855	At.65686	NM_125132		AT5G57510	MUA2.8|MUA2_8	hypothetical protein	protein-coding
R-1656	Chr3	11386521	11387077	+	105343	NA	Intergenic	Intergenic	-2699	AT3G29577.1	3769009				AT3G29577	MTO24.1	pseudo	pseudo
R-1653	Chr4	10649030	10650358	+	105343	NA	Intergenic	Intergenic	-2050	AT4G19530.1	827695	At.32809	NM_118073		AT4G19530	F24J7.90|F24J7_90	TIR-NBS-LRR class disease resistance protein	protein-coding
R-1654	Chr3	22291529	22291732	+	105343	NA	promoter-TSS (AT3G60318.1)	promoter-TSS (AT3G60318.1)	33	AT3G60318.1	6241132	At.73558	NM_001125391		AT3G60318	-	hypothetical protein	protein-coding
