PeakID (cmd=TPR1eds1_QuEST_peaks.bed tair10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
R-510	Chr2	9208722	9209176	+	13,6434	NA	intron (AT2G21500.1, intron 3 of 4)	intron (AT2G21500.1, intron 3 of 4)	1282	AT2G21500	816689	At.39561	NM_179682		AT2G21500	F3K23.26|F3K23_26	RING/U-box domain-containing protein	protein-coding
R-511	Chr5	21666001	21666486	+	13,5342	NA	Intergenic	Intergenic	-1696	AT5G53410	835422	At.55523	NM_124720		AT5G53410	MYN8.2|MYN8_2	hypothetical protein	protein-coding
R-512	Chr5	5178134	5178530	+	13,5342	NA	promoter-TSS (AT5G15850.1)	promoter-TSS (AT5G15850.1)	225	AT5G15853	6241288	At.73428	NM_001125759		AT5G15853	-	hypothetical protein	protein-coding
R-513	Chr4	475315	475671	+	13,5342	NA	Intergenic	Intergenic	-1648	AT4G01100	827899	At.71232	NM_001203721		ADNT1	F2N1.16|F2N1_16|adenine nucleotide transporter 1	adenine nucleotide transporter 1	protein-coding
R-514	Chr3	21007650	21007962	+	13,5342	NA	promoter-TSS (AT3G56710.1)	promoter-TSS (AT3G56710.1)	-241	AT3G56710	824838	At.9832	NM_115530		SIB1	sigma factor binding protein 1	sigma factor binding protein 1	protein-coding
R-515	Chr3	17401821	17401976	+	13,5342	NA	promoter-TSS (AT3G47250.1)	promoter-TSS (AT3G47250.1)	-167	AT3G47250	823878	At.23847	NM_114592		AT3G47250	-	hypothetical protein	protein-coding
R-518	Chr2	15416711	15417102	+	13,5342	NA	promoter-TSS (AT2G36770.1)	promoter-TSS (AT2G36770.1)	-140	AT2G36770	818249	At.37508	NM_129232		AT2G36770	F13K3.17|F13K3_17	UDP-glucosyl transferase 73C	protein-coding
R-519	Chr2	10105137	10105347	+	13,5342	NA	Intergenic	Intergenic	-1213	AT2G23755	816907	At.45723	NM_179712		AT2G23755	-	hypothetical protein	protein-coding
R-52	Chr4	13672278	13673127	+	37,874	NA	promoter-TSS (AT4G27300.1)	promoter-TSS (AT4G27300.1)	-354	AT4G27300	828838	At.32109	NM_118864		AT4G27300	M4I22.110|M4I22_110	S-locus lectin protein kinase-like protein	protein-coding
R-520	Chr1	26512130	26512502	+	13,4251	NA	TTS (AT1G70370.2)	TTS (AT1G70370.2)	2872	AT1G70370	843373	At.75232	NM_001198432		PG2	polygalacturonase 2	putative polygalacturonase non-catalytic subunit JP650	protein-coding
R-521	Chr5	15931878	15932424	+	13,4251	NA	TTS (AT5G39790.1)	TTS (AT5G39790.1)	2963	AT5G39785	833974	At.28393	NM_123341		AT5G39785	AT5G39780	hypothetical protein	protein-coding
R-522	Chr3	1727941	1728124	+	13,4251	NA	exon (AT3G05800.1, exon 1 of 1)	exon (AT3G05800.1, exon 1 of 1)	726	AT3G05800	819749	At.40615	NM_111454		AIF1	AtBS1(activation-tagged BRI1 suppressor 1)-interacting factor 1|F10A16.9|F10A16_9	transcription factor bHLH150	protein-coding
R-523	Chr2	12123278	12123701	+	13,4251	NA	TTS (AT2G28360.1)	TTS (AT2G28360.1)	4169	AT2G28355	817383	At.38628	NM_128395		LCR5	low-molecular-weight cysteine-rich 5	defensin-like protein 149	protein-coding
R-524	Chr5	20727820	20728364	+	13,3159	NA	Intergenic	Intergenic	-1520	AT5G50950	835168	At.6963	NM_001125940		FUM2	FUMARASE 2|K3K7.11|K3K7_11	fumarate hydratase 2	protein-coding
R-525	Chr5	6812196	6812615	+	13,3159	NA	promoter-TSS (AT5G20181.1)	promoter-TSS (AT5G20181.1)	67	AT5G20181	6241309	At.73417	NM_001125783		AT5G20181	-	hypothetical protein	protein-coding
R-526	Chr4	17187206	17187935	+	13,3159	NA	TTS (AT4G36380.1)	TTS (AT4G36380.1)	320	AT4G36370	829789	At.71645	NM_119800		AT4G36370	F23E13.210|F23E13_210	hypothetical protein	protein-coding
R-527	Chr4	15780232	15780479	+	13,3159	NA	promoter-TSS (AT4G32710.1)	promoter-TSS (AT4G32710.1)	-690	AT4G32710	3770575	At.31641	NM_119424		AT4G32710	F4D11.90|F4D11_90	proline-rich receptor-like protein kinase	protein-coding
R-528	Chr4	14564379	14565015	+	13,3159	NA	promoter-TSS (AT4G29735.1)	promoter-TSS (AT4G29735.1)	-319	AT4G29735	829095	At.31892	NM_001160804		AT4G29735	-	hypothetical protein	protein-coding
R-529	Chr4	12536491	12537201	+	13,3159	NA	intron (AT4G24150.1, intron 2 of 5)	intron (AT4G24150.1, intron 2 of 5)	874	AT4G24150	828515	At.69386	NM_118547		GRF8	AtGRF8|T19F6.140|T19F6_140|growth-regulating factor 8	growth-regulating factor 8	protein-coding
R-53	Chr2	183255	183425	+	37,6557	NA	promoter-TSS (AT2G01422.1)	promoter-TSS (AT2G01422.1)	-12	AT2G01420	814670	At.24881	NM_126203		PIN4	ARABIDOPSIS PIN-FORMED 4|ATPIN4|AUXIN TRANSPORTER SPLICE VARIANT B|F10A8.27|PIN-FORMED 4	auxin efflux carrier component 4	protein-coding
R-530	Chr4	10073356	10073919	+	13,3159	NA	promoter-TSS (AT4G18205.1)	promoter-TSS (AT4G18205.1)	-121	AT4G18205	3770304	At.1986	NM_001036587		AT4G18205	AT4G18200	putative purine permease 21	protein-coding
R-531	Chr3	2132544	2132894	+	13,3159	NA	promoter-TSS (AT3G06760.2)	promoter-TSS (AT3G06760.2)	-39	AT3G06760	819861	At.40468	NM_001161122		AT3G06760	-	protein dehydration-INDUCED 19-4	protein-coding
R-532	Chr1	24831078	24831477	+	13,2068	NA	TTS (AT1G66553.1)	TTS (AT1G66553.1)	117	AT1G66553	6240576	At.73814	NM_001124088		AT1G66553	-	hypothetical protein	protein-coding
R-533	Chr5	10799377	10800006	+	13,2068	NA	Intergenic	Intergenic	-1469	AT5G28770	832990	At.15754	NM_001036885		BZO2H3	Arabidopsis thaliana basic leucine zipper 63|AtbZIP63|T32B20.4|T32B20_4	bZIP transcription factor-like protein	protein-coding
R-534	Chr5	6738655	6738784	+	13,2068	NA	promoter-TSS (AT5G19940.1)	promoter-TSS (AT5G19940.1)	629	AT5G19930	832115	At.19835	NM_001203414		AT5G19930	F28I16.80|F28I16_80	hypothetical protein	protein-coding
R-536	Chr3	9595885	9596113	+	13,2068	NA	promoter-TSS (AT3G26210.1)	promoter-TSS (AT3G26210.1)	-756	AT3G26210	822222	At.74945	NM_113528		CYP71B23	cytochrome P450|family 71|polypeptide 23|subfamily B	cytochrome P450 71B23	protein-coding
R-538	Chr2	2914798	2914920	+	13,2068	NA	TTS (AT2G07030.1)	TTS (AT2G07030.1)	1230	AT2G07030	3768139				AT2G07030	T4E14.14|T4E14_14	pseudo	pseudo
R-539	Chr2	263060	263586	+	13,2068	NA	Intergenic	Intergenic	2582	AT2G01580	814687	At.42478	NM_126219		AT2G01580	F2I9.20|F2I9_20	hypothetical protein	protein-coding
R-54	Chr3	22947711	22948282	+	37,3283	NA	promoter-TSS (AT3G61962.1)	promoter-TSS (AT3G61962.1)	-763	AT3G61962	6241169	At.73545	NM_001125415		AT3G61962	-	Putative membrane lipoprotein	protein-coding
R-540	Chr1	28880031	28880603	+	13,0976	NA	Intergenic	Intergenic	-1497	AT1G76900	844025	At.17482	NM_106341		TLP1	AtTLP1|F7O12.7|tubby like protein 1	tubby-like F-box protein 1	protein-coding
R-541	Chr1	22649495	22650082	+	13,0976	NA	promoter-TSS (AT1G61380.1)	promoter-TSS (AT1G61380.1)	-267	AT1G61380	842432	At.36467	NM_104819		SD1-29	S-domain-1 29|T1F9.13|T1F9_13	protein S-domain-1 29	protein-coding
R-542	Chr1	8926560	8927034	+	13,0976	NA	TTS (AT1G25430.1)	TTS (AT1G25430.1)	4097	AT1G25425	3766793	At.75668	NM_001036015		CLE43	CLAVATA3/ESR-RELATED 43	protein CLAVATA3/ESR-related 43	protein-coding
R-543	Chr1	7031863	7032299	+	13,0976	NA	promoter-TSS (AT1G20310.1)	promoter-TSS (AT1G20310.1)	-209	AT1G20310	838619	At.41715	NM_101882		AT1G20310	F14O10.9|F14O10_9	hypothetical protein	protein-coding
R-545	Chr5	25077934	25078521	+	13,0976	NA	TTS (AT5G62470.1)	TTS (AT5G62470.1)	2631	AT5G62470	836367	At.9303	NM_125641		MYB96	ATMYB96|K19B1.8|K19B1_8|MYB DOMAIN PROTEIN 96|MYBCOV1|myb domain protein 96	myb domain protein 96	protein-coding
R-547	Chr4	16479621	16479756	+	13,0976	NA	promoter-TSS (AT4G34460.2)	promoter-TSS (AT4G34460.2)	-160	AT4G34460	829597	At.22855	NM_001085022		AGB1	ARABIDOPSIS G-PROTEIN BETA SUBUNIT|ATAGB1|ELK4|ERECTA-LIKE 4|GTP binding protein beta 1|T4L20.40|T4L20_40	guanine nucleotide-binding protein subunit beta	protein-coding
R-548	Chr3	2348680	2349277	+	13,0976	NA	TTS (AT3G07350.1)	TTS (AT3G07350.1)	1510	AT3G07350	819923	At.28250	NM_111614		AT3G07350	-	hypothetical protein	protein-coding
R-55	Chr5	24476474	24477244	+	37,11	NA	Intergenic	Intergenic	-2368	AT5G60840	836205	At.29140	NM_125477		AT5G60840	MAE1.8|MAE1_8	hypothetical protein	protein-coding
R-550	Chr2	181024	181436	+	13,0976	NA	intron (AT2G01420.1, intron 3 of 5)	intron (AT2G01420.1, intron 3 of 5)	2098	AT2G01420	814670	At.24881	NM_126203		PIN4	ARABIDOPSIS PIN-FORMED 4|ATPIN4|AUXIN TRANSPORTER SPLICE VARIANT B|F10A8.27|PIN-FORMED 4	auxin efflux carrier component 4	protein-coding
R-551	Chr1	28553311	28553804	+	12,9885	NA	TTS (AT1G76100.1)	TTS (AT1G76100.1)	1211	AT1G76100	843942	At.19893	NM_106259		PETE1	T23E18.3|T23E18_3|plastocyanin 1	Plastocyanin minor isoform	protein-coding
R-552	Chr5	22644863	22645156	+	12,9885	NA	TTS (AT5G55920.1)	TTS (AT5G55920.1)	-2655	AT5G55910	835689	At.72584	NM_124973		D6PK	D6 protein kinase|MYN21.2|MYN21_2	D6 protein kinase	protein-coding
R-554	Chr5	3888345	3889143	+	12,9885	NA	TTS (AT5G12043.1)	TTS (AT5G12043.1)	150	AT5G12043	6240979	At.73435	NM_001125739		AT5G12043	-	hypothetical protein	protein-coding
R-555	Chr3	22362558	22362703	+	12,9885	NA	promoter-TSS (AT3G60520.1)	promoter-TSS (AT3G60520.1)	-51	AT3G60520	825223	At.34431	NM_115916		AT3G60520	-	hypothetical protein	protein-coding
R-556	Chr3	4361198	4361545	+	12,9885	NA	TTS (AT3G13410.1)	TTS (AT3G13410.1)	-2169	AT3G13405	3768775				MIR169A	microRNA169A	ncRNA	ncRNA
R-557	Chr2	18423000	18423730	+	12,9885	NA	promoter-TSS (AT2G44660.1)	promoter-TSS (AT2G44660.1)	-526	AT2G44660	819074	At.53123	NM_130030		AT2G44660	F16B22.15	alpha-1,3-glucosyltransferase	protein-coding
R-56	Chr5	20942945	20943763	+	37,0008	NA	Intergenic	Intergenic	-2331	AT5G51560	835230	At.29672	NM_124535		AT5G51560	K17N15.11|K17N15_11	leucine-rich repeat protein kinase-like protein	protein-coding
R-560	Chr1	26657391	26657932	+	12,8793	NA	TTS (AT1G70700.2)	TTS (AT1G70700.2)	2893	AT1G70700	843407	At.69290	NM_001036187		TIFY7	F5A18.12|F5A18_12|JASMONATE-ZIM-DOMAIN PROTEIN 9|JAZ9	protein TIFY 7	protein-coding
R-561	Chr5	20698162	20698697	+	12,8793	NA	Intergenic	Intergenic	-1390	AT5G50860	835158	At.29709	NM_124464		AT5G50860	K16E14.1	protein kinase family protein	protein-coding
R-563	Chr2	15093936	15094167	+	12,8793	NA	Intergenic	Intergenic	-1636	AT2G35940	818167	At.23033	NM_001036413		BLH1	BEL1-like homeodomain 1|EDA29|F11F19.15|F11F19_15|embryo sac development arrest 29	BEL1-like homeodomain 1	protein-coding
R-565	Chr1	8016033	8016367	+	12,7702	NA	promoter-TSS (AT1G22651.1)	promoter-TSS (AT1G22651.1)	74	AT1G22651	6240536	At.73868	NM_001123859		AT1G22651	-	hypothetical protein	protein-coding
R-566	Chr5	5695993	5696363	+	12,7702	NA	TTS (AT5G17310.2)	TTS (AT5G17310.2)	-3276	AT5G17300	831595	At.21718	NM_121736		RVE1	MKP11.15|MKP11_15|REVEILLE 1	myb family transcription factor	protein-coding
R-567	Chr4	10699124	10699277	+	12,7702	NA	promoter-TSS (AT4G19660.1)	promoter-TSS (AT4G19660.1)	-957	AT4G19660	827710	At.32792	NM_118086		NPR4	ATNPR4|NPR1-like protein 4|T16H5.20|T16H5_20	NPR1-like protein 4	protein-coding
R-568	Chr3	4119131	4120423	+	12,7702	NA	Intergenic	Intergenic	3731	AT3G12920	820477	At.39524	NM_112128		AT3G12920	-	S-ribonuclease binding protein	protein-coding
R-569	Chr3	822410	822968	+	12,7702	NA	promoter-TSS (AT3G03456.1)	promoter-TSS (AT3G03456.1)	-147	AT3G03456	6240959	At.73697	NM_001125089		AT3G03456	-	hypothetical protein	protein-coding
R-57	Chr1	8598389	8599119	+	36,6734	NA	Intergenic	Intergenic	-1711	AT1G24265	839041	At.28438	NM_001198153		AT1G24265	-	hypothetical protein	protein-coding
R-570	Chr2	9370450	9370829	+	12,7702	NA	Intergenic	Intergenic	-1178	AT2G22010	816737	At.39495	NM_001202644		RKP	AT2G22020|F7D8.33|F7D8_33|related to KPC1	ubiquitination-promoting complex protein 1	protein-coding
R-571	Chr1	10537405	10537579	+	12,6611	NA	promoter-TSS (AT1G30040.2)	promoter-TSS (AT1G30040.2)	-156	AT1G30040	839883	At.412	NM_001036035		GA2OX2	ATGA2OX2|GIBBERELLIN 2-OXIDASE 2|T1P2.6|T1P2_6|gibberellin 2-oxidase	gibberellin 2-beta-dioxygenase 2	protein-coding
R-572	Chr5	26659230	26659770	+	12,6611	NA	Intergenic	Intergenic	-1100	AT5G66770	836810	At.27307	NM_126075		AT5G66770	MUD21.1|MUD21_1	scarecrow-like protein 4	protein-coding
R-573	Chr5	25158584	25158843	+	12,6611	NA	promoter-TSS (AT5G62670.1)	promoter-TSS (AT5G62670.1)	-517	AT5G62670	836388	At.68527	NM_125662		HA11	AHA11|H(+)-ATPase 11|MRG21.9|MRG21_9	H(+)-ATPase 11	protein-coding
R-574	Chr4	17643074	17643549	+	12,6611	NA	promoter-TSS (AT4G37550.2)	promoter-TSS (AT4G37550.2)	-259	AT4G37550	829910	At.26178	NM_001036724		AT4G37550	F19F18.40|F19F18_40	formamidase	protein-coding
R-575	Chr4	12488985	12489187	+	12,6611	NA	intron (AT4G24040.1, intron 1 of 10)	intron (AT4G24040.1, intron 1 of 10)	903	AT4G24040	828504	At.28685	NM_118536		TRE1	ATTRE1|T19F6.30|T19F6_30|trehalase 1	trehalase 1	protein-coding
R-576	Chr3	22144829	22145174	+	12,6611	NA	TTS (AT3G59940.1)	TTS (AT3G59940.1)	2101	AT3G59940	825164	At.48785	NM_115857		AT3G59940	-	F-box/kelch-repeat protein SKIP20	protein-coding
R-577	Chr3	1836373	1836821	+	12,6611	NA	intron (AT3G06080.2, intron 1 of 3)	intron (AT3G06080.2, intron 1 of 3)	1387	AT3G06080	819781	At.23540	NM_111483		AT3G06080	F24F17.6|F24F17_6|TBL10|TRICHOME BIREFRINGENCE-LIKE 10	hypothetical protein	protein-coding
R-579	Chr1	29359266	29359652	+	12,5519	NA	TTS (AT1G78070.1)	TTS (AT1G78070.1)	4437	AT1G78070	844142	At.19130	NM_106456		AT1G78070	F28K19.28|F28K19_28	transducin/WD-40 repeat-containing protein	protein-coding
R-58	Chr5	1711203	1711809	+	36,4551	NA	Intergenic	Intergenic	4225	AT5G05700	830454	At.20652	NM_120652		ATE1	ARGININE-TRNA PROTEIN TRANSFERASE 1|ATATE1|DELAYED LEAF SENESCENCE 1|DLS1|MJJ3.1|MJJ3_1|arginine-tRNA protein transferase 1	arginine-tRNA protein transferase 1	protein-coding
R-580	Chr1	24468518	24468852	+	12,5519	NA	promoter-TSS (AT1G65790.1)	promoter-TSS (AT1G65790.1)	-247	AT1G65790	842890	At.52387	NM_105252		RK1	ARK1|F1E22.15|F1E22_15|receptor kinase 1	receptor kinase 1	protein-coding
R-581	Chr1	22185516	22186073	+	12,5519	NA	Intergenic	Intergenic	-2651	AT1G60150	3767577				AT1G60150	T13D8.37	pseudo	pseudo
R-582	Chr5	24990847	24991383	+	12,5519	NA	Intergenic	Intergenic	-1106	AT5G62220	836343	At.29063	NM_125616		GT18	ATGT18|MMI9.5|MMI9_5|glycosyltransferase 18	glycosyltransferase 18	protein-coding
R-583	Chr5	24384130	24384663	+	12,5519	NA	Intergenic	Intergenic	-1749	AT5G60680	836189	At.7237	NM_125461		AT5G60680	MUP24.10|MUP24_10	hypothetical protein	protein-coding
R-585	Chr4	14331356	14331615	+	12,5519	NA	Intergenic	Intergenic	-2043	AT4G29090	829030	At.54541	NM_119053		AT4G29090	F19B15.120|F19B15_120	Ribonuclease H-like protein	protein-coding
R-586	Chr2	17667603	17667984	+	12,5519	NA	TTS (AT2G42440.1)	TTS (AT2G42440.1)	2024	AT2G42440	818844	At.37013	NM_180039		AT2G42440	MHK10.16|MHK10_16	LOB domain-containing protein 17	protein-coding
R-589	Chr1	26434818	26435174	+	12,4428	NA	promoter-TSS (AT1G70200.1)	promoter-TSS (AT1G70200.1)	-596	AT1G70200	843356	At.35335	NM_105688		AT1G70200	F20P5.8|F20P5_8	RNA recognition motif-containing protein	protein-coding
R-590	Chr1	7388666	7388868	+	12,4428	NA	promoter-TSS (AT1G21100.1)	promoter-TSS (AT1G21100.1)	-339	AT1G21100	838706	At.70478	NM_101964		AT1G21100	T22I11.7|T22I11_7	O-methyltransferase-like protein	protein-coding
R-592	Chr1	116025	116680	+	12,4428	NA	promoter-TSS (AT1G01300.1)	promoter-TSS (AT1G01300.1)	-591	AT1G01300	839375	At.22191	NM_100012		AT1G01300	F6F3.10|F6F3_10	aspartyl protease-like protein	protein-coding
R-593	Chr5	11730393	11730552	+	12,4428	NA	Intergenic	Intergenic	-8805	AT5G31821	3770985				AT5G31821	-	pseudo	pseudo
R-594	Chr4	16361480	16361615	+	12,4428	NA	Intergenic	Intergenic	3908	AT4G34160	829564	At.22721	NM_119579		CYCD3;1	CYCD3|CYCLIN D3;1|F28A23.80|F28A23_80	cyclin-D3-1	protein-coding
R-595	Chr4	10712642	10713222	+	12,4428	NA	TTS (AT4G19700.1)	TTS (AT4G19700.1)	1775	AT4G19700	827714	At.27286	NM_118090		RING	T16H5.60|T16H5_60	SBP (S-ribonuclease binding protein) family protein	protein-coding
R-596	Chr3	4116878	4117063	+	12,4428	NA	Intergenic	Intergenic	4136	AT3G12915	3768815	At.74672	NM_001161139		AT3G12915	MGH6.2	Ribosomal protein S5/Elongation factor G/III/V family protein	protein-coding
R-598	Chr1	30241614	30241778	+	12,3336	NA	promoter-TSS (AT1G80440.1)	promoter-TSS (AT1G80440.1)	89	AT1G80440	844383	At.21261	NM_106692		AT1G80440	T21F11.23|T21F11_23	F-box/kelch-repeat protein	protein-coding
R-600	Chr1	26484771	26485125	+	12,3336	NA	TTS (AT1G70310.1)	TTS (AT1G70310.1)	2487	AT1G70310	843367	At.20978	NM_105699		SPDS2	F17O7.16|F17O7_16|spermidine synthase 2	Spermidine synthase 2	protein-coding
R-601	Chr1	24847716	24848183	+	12,3336	NA	promoter-TSS (AT1G66600.1)	promoter-TSS (AT1G66600.1)	-371	AT1G66600	842978	At.28325	NM_105331		ABO3	ABA overly sensitive mutant 3|ATWRKY63|T12I7.5|T12I7_5|WRKY DNA-binding protein 63|WRKY63	putative WRKY transcription factor 63	protein-coding
R-604	Chr1	7570226	7571193	+	12,3336	NA	promoter-TSS (AT1G21590.1)	promoter-TSS (AT1G21590.1)	-807	AT1G21590	838760	At.21971	NM_102008		AT1G21590	F24J8.18|F24J8_18	adenine nucleotide alpha hydrolases-domain containing protein kinase	protein-coding
R-605	Chr1	1129870	1130517	+	12,3336	NA	promoter-TSS (AT1G04240.1)	promoter-TSS (AT1G04240.1)	-642	AT1G04240	839570	At.20801	NM_100305		SHY2	F19P19.32|F19P19_32|IAA3|SHORT HYPOCOTYL 2|indole-3-acetic acid inducible 3	auxin-responsive protein IAA3	protein-coding
R-608	Chr1	28461357	28461578	+	12,2245	NA	promoter-TSS (AT1G75810.1)	promoter-TSS (AT1G75810.1)	-197	AT1G75810	843914	At.34728	NM_106231		AT1G75810	T4O12.4|T4O12_4	hypothetical protein	protein-coding
R-609	Chr1	6174406	6174922	+	12,2245	NA	Intergenic	Intergenic	-1442	AT1G17940	838373	At.41809	NM_101657		AT1G17940	F2H15.16|F2H15_16	Endosomal targeting BRO1-like domain-containing protein	protein-coding
R-611	Chr3	18479020	18479300	+	12,2245	NA	Intergenic	Intergenic	-2077	AT3G49820	824144	At.53860	NM_114842		AT3G49820	-	hypothetical protein	protein-coding
R-612	Chr3	17997591	17998013	+	12,2245	NA	Intergenic	Intergenic	3803	AT3G48550	824014	At.35711	NM_114713		AT3G48550	-	hypothetical protein	protein-coding
R-613	Chr2	10824990	10825327	+	12,2245	NA	TTS (AT2G25430.1)	TTS (AT2G25430.1)	-1577	AT2G25440	817082	At.52911	NM_128101		RLP20	AtRLP20|F13B15.10|F13B15_10|receptor like protein 20	receptor like protein 20	protein-coding
R-614	Chr2	7637542	7637772	+	12,2245	NA	5' UTR (AT2G17550.2, exon 1 of 4)	5' UTR (AT2G17550.2, exon 1 of 4)	175	AT2G17550	816262	At.27964	NM_001084439		AT2G17550	MJB20.11|MJB20_11	hypothetical protein	protein-coding
R-615	Chr1	17764263	17764464	+	12,1153	NA	Intergenic	Intergenic	-2511	AT1G48100	841228	At.70184	NM_103706		AT1G48100	F21D18.18|F21D18_18	polygalacturonase	protein-coding
R-616	Chr5	22757979	22758565	+	12,1153	NA	TTS (AT5G56220.1)	TTS (AT5G56220.1)	1099	AT5G56230	835722	At.29399	NM_125006		PRA1.G2	K24C1.4|K24C1_4|prenylated RAB acceptor 1.G2	PRA1 family protein G2	protein-coding
R-617	Chr5	3444389	3444965	+	12,1153	NA	TTS (AT5G10920.1)	TTS (AT5G10920.1)	2437	AT5G10930	830960	At.6016	NM_121131		CIPK5	CBL-INTERACTING PROTEIN KINASE 5|CBL-interacting protein kinase 5|SNF1-RELATED PROTEIN KINASE 3.24|SnRK3.24|T30N20.200|T30N20_200	CBL-interacting serine/threonine-protein kinase 5	protein-coding
R-618	Chr4	11864713	11864990	+	12,1153	NA	promoter-TSS (AT4G22540.3)	promoter-TSS (AT4G22540.3)	-473	AT4G22540	828349	At.23326	NM_001036621		ORP2A	F7K2.120|F7K2_120|OSBP(oxysterol binding protein)-related protein 2A	OSBP(oxysterol binding protein)-related protein 2A	protein-coding
R-620	Chr3	4655545	4656356	+	12,1153	NA	Intergenic	Intergenic	1651	AT3G14060	820620	At.39297	NM_112260		AT3G14060	-	hypothetical protein	protein-coding
R-621	Chr1	4533518	4534550	+	12,0062	NA	Intergenic	Intergenic	-3971	AT1G13250	837885	At.22620	NM_101196		GATL3	T6J4.1|T6J4_1|galacturonosyltransferase-like 3	putative galacturonosyltransferase-like 3	protein-coding
R-623	Chr5	17808677	17809498	+	12,0062	NA	Intergenic	Intergenic	-1390	AT5G44220	834445	At.55348	NM_123789		AT5G44220	MLN1.15|MLN1_15	F-box protein	protein-coding
R-627	Chr3	14689916	14690285	+	12,0062	NA	promoter-TSS (AT3G42580.1)	promoter-TSS (AT3G42580.1)	-721	AT3G42580	823270				AT3G42580	-	pseudo	pseudo
R-628	Chr3	4541495	4542208	+	12,0062	NA	TTS (AT3G13800.1)	TTS (AT3G13800.1)	-2513	AT3G13810	820593	At.28709	NM_001202953		IDD11	AtIDD11|indeterminate(ID)-domain 11	protein indeterminate(ID)-domain 11	protein-coding
R-629	Chr2	17114779	17114995	+	12,0062	NA	promoter-TSS (AT2G41010.1)	promoter-TSS (AT2G41010.1)	-83	AT2G41010	818701	At.19612	NM_129666		CAMBP25	ATCAMBP25|T3K9.22|T3K9_22|calmodulin (CAM)-binding protein of 25 kDa	calmodulin binding protein 25	protein-coding
R-63	Chr1	27150912	27152125	+	35,4728	NA	TTS (AT1G72150.1)	TTS (AT1G72150.1)	3058	AT1G72150	843546	At.43384	NM_105873		PATL1	PATELLIN 1|T9N14.1|T9N14_1	patellin-1	protein-coding
R-630	Chr2	12152212	12152718	+	12,0062	NA	TTS (AT2G28405.1)	TTS (AT2G28405.1)	1627	AT2G28405	3768196	At.66261	NM_001036359		LCR32	low-molecular-weight cysteine-rich 32	putative defensin-like protein 150	protein-coding
R-631	Chr2	11315877	11316117	+	12,0062	NA	promoter-TSS (AT2G26600.1)	promoter-TSS (AT2G26600.1)	-415	AT2G26600	817201	At.12391	NM_128217		AT2G26600	T9J22.27|T9J22_27	glycosyl hydrolases family 17 domain-containing protein	protein-coding
R-632	Chr1	26750228	26750654	+	11,897	NA	Intergenic	Intergenic	-1188	AT1G70944	6240633	At.73810	NM_001124108		AT1G70944	-	hypothetical protein	protein-coding
R-633	Chr1	7904772	7905166	+	11,897	NA	intron (AT1G22400.1, intron 1 of 1)	intron (AT1G22400.1, intron 1 of 1)	1704	AT1G22400	838846	At.41604	NM_102089		UGT85A1	ARABIDOPSIS THALIANA UDP-GLUCOSYL TRANSFERASE 85A1|ATUGT85A1|F12K8.26|F12K8_26	cytokinin-O-glucosyltransferase 2	protein-coding
R-635	Chr1	5070558	5070999	+	11,897	NA	Intergenic	Intergenic	-2133	AT1G14720	838037	At.279	NM_101341		XTH28	ATXTH28|ENDOXYLOGLUCAN TRANSFERASE A2|EXGT-A2|F10B6.12|F10B6_12|XTR2|XYLOGLUCAN ENDOTRANSGLYCOSYLASE-RELATED PROTEIN|xyloglucan endotransglucosylase/hydrolase 28|xyloglucan endotransglycosylase related 2	xyloglucan:xyloglucosyl transferase	protein-coding
R-637	Chr1	3758756	3759038	+	11,897	NA	TTS (AT1G11220.1)	TTS (AT1G11220.1)	-1899	AT1G11210	837662	At.11566	NM_100993		AT1G11210	-	hypothetical protein	protein-coding
R-64	Chr5	9515337	9515923	+	35,2545	NA	promoter-TSS (AT5G27030.2)	promoter-TSS (AT5G27030.2)	-223	AT5G27030	832761	At.69325	NM_001203480		TPR3	F2P16.14|F2P16_14|TOPLESS-related 3	Topless-related protein 3	protein-coding
R-640	Chr5	19895493	19895998	+	11,897	NA	Intergenic	Intergenic	-1512	AT5G49090	834968				AT5G49090	K20J1.6|K20J1_6	pseudo	pseudo
R-641	Chr5	19219327	19219596	+	11,897	NA	Intergenic	Intergenic	-1552	AT5G47370	834784	At.25127	NM_124108		HAT2	MQL5.23|MQL5_23	homeobox-leucine zipper protein HAT2	protein-coding
R-643	Chr4	16895713	16895945	+	11,897	NA	promoter-TSS (AT4G35600.2)	promoter-TSS (AT4G35600.2)	-373	AT4G35600	829712	At.57035	NM_001203999		CONNEXIN 32	F8D20.110|F8D20_110	putative serine/threonine-protein kinase Cx32	protein-coding
R-644	Chr3	19535897	19536449	+	11,897	NA	TTS (AT3G52710.1)	TTS (AT3G52710.1)	1588	AT3G52710	824437	At.35266	NM_115131		AT3G52710	-	hypothetical protein	protein-coding
R-645	Chr3	17157602	17158180	+	11,897	NA	promoter-TSS (AT3G46600.3)	promoter-TSS (AT3G46600.3)	-33	AT3G46600	823813	At.595	NM_001084782		AT3G46600	-	scarecrow-like protein 30	protein-coding
